LocalAuthority,ons_code,Region,06IndustryandCommercial,06Domestic,06Transport,06TotalFinal,06PerCapitaEmissions,07IndustryandCommercial,07Domestic,07Transport,07TotalFinal,08IndustryandCommercial,08Domestic,08Transport,08TotalFinal,09IndustryandCommercial,09Domestic,09Transport,09TotalFinal,10IndustryandCommercial,10Domestic,10Transport,10TotalFinal,11IndustryandCommercial,11Domestic,11Transport,11TotalFinal,11PerCapitaEmissions,12IndustryandCommercial,12Domestic,12Transport,12TotalFinal,13IndustryandCommercial,13Domestic,13Transport,13TotalFinal,14IndustryandCommercial,14Domestic,14Transport,14TotalFinal,15IndustryandCommercial,15Domestic,15Transport,15TotalFinal,16IndustryandCommercial,16Domestic,16Transport,16TotalFinal,16PerCapitaEmissions,PcIndustry16,PcDomestic16,PcTransport16,16LULUCF,Pc16LULUCF,PcChangeTotal1116,PcChangeIndustry1116,PcChangeDomestic1116,PcChangeTransport1116,RankingPolluting16,CheckTransport,Higheroverfiveyears,Size of area 12,Population 3,SO2,O3,NO2,NH3,PM10,PM2.5,Total,TotalArria,kgSavedperHA,kgsavedperPerson,Pcremovedof SO2,PcremovedofO3,PcremovedofNO2,PcremovedofNH3,PcremovedofPM10,PcremovedofPM2.5,MoneySO2,MoneyO3,MoneyNO2,MoneyPM25,MoneyTotal,MoneyMillion,MoneySaved per person,MoneySaved per ha,PcMoneysavedofSO2,PcMoneysavedofO3,PcMoneysavedofNO2,PcMoneysavedofPM2.5
Anglesey,W06000001,Wales,424.4,213.6,137.3,809.7,11.7,416.4,206.0,139.1,793.4,374.4,205.6,135.2,746.2,309.6,191.2,131.3,660.1,194.0,206.6,130.6,438.2,178.5,179.2,127.1,509.7,7.3,180.1,188.5,124.1,516.9,176.5,180.4,123.3,503.1,165.2,153.9,126.1,466.2,142.7,147.4,128.7,438.2,127.9,137.2,130.4,414.3,5.9,30.9,33.1,31.5,18.8,4.5,-18.7,-28.4,-23.4,2.6,335,No,Yes,71446,69979,204736,3162149,131760,143876,104397,47320,3794239,3.8,53.1,54.2,5.4,83.3,3.5,3.8,2.8,1.2,1010,58172,-15639,606965,650508,0.7,9.3,9.1,0.2,8.9,-2.4,93.3
Gwynedd,W06000002,Wales,370.0,361.1,299.0,877.6,7.4,357.5,351.9,297.2,845.8,338.7,353.9,285.9,838.9,306.5,325.0,273.6,731.0,319.2,349.5,273.1,639.5,293.5,302.9,264.4,703.4,5.8,300.2,318.3,266.8,766.1,285.4,302.9,267.0,740.7,279.2,257.1,264.8,668.5,254.2,246.6,273.5,639.5,229.4,230.0,279.5,631.7,5.1,31.0,31.1,37.8,-107.2,-14.5,-10.2,-21.9,-24.1,5.7,246,Transport,Yes,254809,122864,572823,11806349,352565,363482,540105,269449,13904773,13.9,54.6,113.2,4.1,84.9,2.5,2.6,3.9,1.9,1796,114092,-43943,1346089,1418034,1.4,11.5,5.6,0.1,8.0,-3.1,94.9
Conwy,W06000003,Wales,235.8,304.3,278.3,787.1,7.0,227.1,292.8,280.4,766.7,201.6,292.4,271.7,738.2,185.6,268.9,265.5,683.0,195.5,286.9,264.2,583.9,179.6,248.0,251.3,646.3,5.6,185.4,266.8,249.4,678.0,174.5,255.9,248.7,658.0,174.5,214.0,251.1,613.6,147.3,207.9,255.5,583.9,132.5,195.7,265.8,574.5,4.9,22.3,32.9,44.8,-19.5,-3.3,-11.1,-26.2,-21.1,5.8,274,Transport,Yes,196874,210909,458247,9275278,358802,364787,368618,198314,11024046,11,56.0,52.3,4.2,84.1,3.3,3.3,3.3,1.8,2466,173012,-59072,2356867,2473273,2.5,11.7,12.6,0.1,7.0,-2.4,95.3
Denbighshire,W06000004,Wales,270.2,259.3,207.0,688.6,7.3,245.9,248.9,209.4,653.9,233.0,249.1,204.9,643.1,207.2,229.7,199.6,582.2,214.1,247.6,197.3,495.2,202.9,211.5,190.4,555.7,5.9,203.0,225.8,185.9,575.8,201.4,216.8,187.2,569.6,203.6,182.5,189.8,534.6,169.4,175.8,192.0,495.2,160.4,166.1,197.0,489.7,5.2,30.6,31.7,37.6,-33.7,-6.4,-11.9,-21.0,-21.5,3.4,305,Transport,Yes,196874,210909,458247,9275278,358802,364787,368618,198314,11024046,11,56.0,52.3,4.2,84.1,3.3,3.3,3.3,1.8,2466,173012,-59072,2356867,2473273,2.5,11.7,12.6,0.1,7.0,-2.4,95.3
Flintshire,W06000005,Wales,1573.7,401.1,411.8,2397.0,16.0,1517.4,384.6,414.4,2325.4,1394.1,386.5,397.4,2186.9,1043.0,355.1,383.6,1789.1,957.7,380.4,374.6,1811.4,904.0,328.5,363.0,1601.2,10.5,1183.1,349.1,357.5,1895.1,1178.9,342.9,355.7,1882.2,1202.4,289.7,361.2,1856.9,1154.7,282.1,372.0,1811.4,1186.4,267.5,382.1,1838.3,11.9,64.5,14.6,20.8,2.3,0.1,14.8,31.2,-18.6,5.3,28,No,Yes,94126,290721,265239,4234773,318953,268573,108275,68725,5264538,5.3,55.9,18.1,5.0,80.4,6.1,5.1,2.1,1.3,4856,285589,39542,4495854,4825841,4.8,16.6,51.3,0.1,5.9,0.8,93.2
Wrexham,W06000006,Wales,872.5,331.9,237.0,1447.4,11.1,800.8,320.8,236.5,1362.8,786.0,319.6,228.7,1339.9,721.9,293.9,221.2,1240.1,780.7,314.5,220.6,1008.4,682.9,272.1,215.8,1173.3,8.7,730.2,289.0,213.8,1236.8,673.3,284.0,214.7,1175.6,634.4,237.8,220.5,1094.8,551.3,229.5,226.3,1008.4,447.5,217.1,233.2,900.0,6.6,49.7,24.1,25.9,2.3,0.3,-23.3,-34.5,-20.2,8.1,137,No,Yes,94126,290721,265239,4234773,318953,268573,108275,68725,5264538,5.3,55.9,18.1,5.0,80.4,6.1,5.1,2.1,1.3,4856,285589,39542,4495854,4825841,4.8,16.6,51.3,0.1,5.9,0.8,93.2
Swansea,W06000011,Wales,676.0,599.7,417.0,1692.4,7.3,585.4,562.3,425.8,1571.3,609.8,581.1,404.4,1592.8,507.5,532.5,388.1,1422.8,554.4,560.7,381.7,1151.5,463.4,490.1,376.1,1322.3,5.5,504.1,517.7,368.2,1387.9,459.4,517.2,364.9,1333.4,403.5,433.9,368.7,1196.3,367.2,422.1,373.4,1151.5,324.7,398.5,379.7,1091.8,4.5,29.4,36.1,34.4,-11.1,-1.0,-17.4,-29.9,-18.7,1.0,94,No,Yes,37971,242382,115046,1518118,110667,69343,54207,28154,1895536,1.9,49.9,7.8,6.1,80.1,5.8,3.7,2.9,1.5,3501,159417,17189,2868900,3049007,3.0,12.6,80.3,0.1,5.2,0.6,94.1
Neath Port Talbot,W06000012,Wales,7536.4,365.2,300.0,8169.8,59.1,8074.2,344.2,317.7,8702.0,7622.3,361.4,298.1,8251.6,5704.4,325.6,286.7,6279.2,8027.7,349.1,281.0,8163.6,7100.5,302.3,280.2,7647.6,54.7,5449.9,317.0,278.1,6015.5,8277.4,315.2,279.6,8844.2,8548.9,267.0,269.1,9053.0,7647.2,258.5,290.9,8163.6,6744.6,244.9,292.1,7253.7,51.2,92.6,3.4,4.0,-28.0,-0.4,-5.2,-5.0,-19.0,4.2,2,No,Yes,69307,283084,336333,3306146,276219,150046,293088,147932,4509764,4.5,65.1,15.9,7.5,73.3,6.1,3.3,6.5,3.3,5960,227132,30723,4093436,4357251,4.4,15.4,62.9,0.1,5.2,0.7,93.9
Bridgend,W06000013,Wales,498.4,335.0,313.7,1133.2,8.4,477.5,314.7,323.0,1100.1,476.5,321.5,302.6,1087.9,432.9,288.3,294.9,999.4,430.4,305.2,291.9,863.9,416.1,267.8,285.8,954.1,6.8,410.2,286.4,286.0,970.3,414.5,280.8,284.9,968.7,406.7,233.9,293.1,920.1,350.5,227.9,299.5,863.9,312.3,216.5,304.9,822.5,5.7,37.5,26.0,36.6,-11.2,-1.3,-13.8,-24.9,-19.2,6.7,165,No,Yes,69307,283084,336333,3306146,276219,150046,293088,147932,4509764,4.5,65.1,15.9,7.5,73.3,6.1,3.3,6.5,3.3,5960,227132,30723,4093436,4357251,4.4,15.4,62.9,0.1,5.2,0.7,93.9
the Vale of Glamorgan,W06000014,Wales,922.6,308.1,246.7,1492.6,12.1,954.1,287.7,252.1,1507.3,853.1,295.6,246.6,1408.1,738.1,266.2,235.1,1249.9,767.3,284.6,230.0,1207.4,777.7,247.1,221.5,1254.8,9.9,752.4,266.8,220.2,1247.8,793.8,260.7,220.9,1283.0,780.5,217.0,221.5,1225.0,766.4,208.7,227.4,1207.4,696.3,200.7,232.0,1133.8,8.8,61.4,17.7,20.5,4.8,0.4,-9.6,-10.5,-18.8,4.7,83,No,Yes,47348,484752,298940,1884376,258472,100191,68779,41973,2652731,2.7,56.0,5.5,11.3,71.0,9.7,3.8,2.6,1.6,9920,325604,333032,7185823,7854379,7.9,16.2,165.9,0.1,4.1,4.2,91.5
Cardiff,W06000015,Wales,1004.0,739.4,716.9,2463.7,7.6,996.5,696.7,725.5,2421.4,1014.2,716.1,698.4,2431.3,942.2,644.8,670.4,2259.0,958.7,684.1,652.7,1866.4,775.8,596.3,646.7,2019.6,5.8,940.9,646.1,648.7,2236.4,865.8,628.8,640.1,2135.2,778.0,514.8,654.5,1947.2,706.6,498.6,662.0,1866.4,648.9,471.4,673.5,1793.1,5.0,36.2,26.3,37.5,-0.7,0.0,-11.2,-16.4,-21.0,4.1,30,Transport,Yes,47348,484752,298940,1884376,258472,100191,68779,41973,2652731,2.7,56.0,5.5,11.3,71.0,9.7,3.8,2.6,1.6,9920,325604,333032,7185823,7854379,7.9,16.2,165.9,0.1,4.1,4.2,91.5
Monmouthshire,W06000021,Wales,278.7,245.5,355.1,857.5,9.6,261.5,231.8,366.2,832.9,258.1,237.2,353.1,823.3,237.7,216.9,341.7,763.1,251.6,234.2,338.1,656.3,236.1,201.0,335.4,735.8,8.0,221.4,215.9,332.2,735.1,229.4,210.9,330.0,734.2,206.3,177.7,329.7,672.9,185.0,172.8,342.8,656.3,174.4,164.2,351.8,647.7,6.9,25.3,23.8,51.0,-42.7,-6.2,-12.0,-26.2,-18.3,4.9,237,Transport,Yes,104080,240245,455353,5251060,472813,299873,237795,145527,6862422,6.9,65.9,28.6,6.6,76.5,6.9,4.4,3.5,2.1,4606,210247,107755,4164517,4487125,4.5,18.7,43.1,0.1,4.7,2.4,92.8
Newport,W06000022,Wales,1228.4,343.6,481.1,2049.0,14.6,1079.8,320.6,475.7,1871.0,962.5,327.8,459.4,1744.9,676.8,296.4,438.5,1405.0,804.2,315.1,435.7,1258.1,716.5,271.4,436.3,1416.9,9.7,635.6,291.2,432.3,1352.7,705.9,290.3,431.0,1420.6,584.9,239.1,438.4,1254.7,578.8,234.1,453.6,1258.1,589.4,225.4,463.6,1270.5,8.5,46.1,17.6,36.3,-7.8,-0.6,-10.3,-17.7,-17.0,6.3,58,No,Yes,104080,240245,455353,5251060,472813,299873,237795,145527,6862422,6.9,65.9,28.6,6.6,76.5,6.9,4.4,3.5,2.1,4606,210247,107755,4164517,4487125,4.5,18.7,43.1,0.1,4.7,2.4,92.8
Powys,W06000023,Wales,472.9,414.6,370.5,934.8,7.1,459.3,395.4,374.3,890.2,446.4,402.3,361.0,912.3,410.5,377.7,354.1,779.9,433.8,411.5,354.2,705.0,414.7,350.8,346.9,781.3,5.9,399.9,368.5,340.9,862.3,395.2,355.0,327.1,828.4,405.8,308.6,334.2,765.5,357.2,296.1,339.3,705.0,345.1,281.3,349.3,740.9,5.6,35.4,28.8,35.8,-234.7,-24.1,-5.2,-16.8,-19.8,0.7,197,Transport,Yes,519532,132642,1269750,25574477,937086,1102862,1183136,649671,30716981,30.7,59.1,231.6,4.1,83.3,3.1,3.6,3.9,2.1,1550,121768,-71541,2056363,2108140,2.1,15.9,4.1,0.1,5.8,-3.4,97.5