name,ons_code,Region,06IndustryandCommercial,06Domestic,06Transport,06TotalFinal,06PerCapitaEmissions,07IndustryandCommercial,07Domestic,07Transport,07TotalFinal,08IndustryandCommercial,08Domestic,08Transport,08TotalFinal,09IndustryandCommercial,09Domestic,09Transport,09TotalFinal,10IndustryandCommercial,10Domestic,10Transport,10TotalFinal,11IndustryandCommercial,11Domestic,11Transport,11TotalFinal,11PerCapitaEmissions,12IndustryandCommercial,12Domestic,12Transport,12TotalFinal,13IndustryandCommercial,13Domestic,13Transport,13TotalFinal,14IndustryandCommercial,14Domestic,14Transport,14TotalFinal,15IndustryandCommercial,15Domestic,15Transport,15TotalFinal,16IndustryandCommercial,16Domestic,16Transport,16TotalFinal,16PerCapitaEmissions,PcIndustry16,PcDomestic16,PcTransport16,16LULUCF,Pc16LULUCF,PcChangeTotal1116,PcChangeIndustry1116,PcChangeDomestic1116,PcChangeTransport1116,RankingPolluting16,CheckTransport,Higheroverfiveyears,Size of area 12,Population 3,SO2,O3,NO2,NH3,PM10,PM2.5,Total,TotalArria,kgSavedperHA,kgsavedperPerson,Pcremovedof SO2,PcremovedofO3,PcremovedofNO2,PcremovedofNH3,PcremovedofPM10,PcremovedofPM2.5,MoneySO2,MoneyO3,MoneyNO2,MoneyPM25,MoneyTotal,MoneyMillion,MoneySaved per person,MoneySaved per ha,PcMoneysavedofSO2,PcMoneysavedofO3,PcMoneysavedofNO2,PcMoneysavedofPM2.5
Anglesey,W06000001,Wales,424.3922535,213.6416287,137.2903776,809.7060548,11.66925196,416.3584103,205.9937133,139.0634385,793.4242333,374.3775178,205.6161571,135.217525,746.1504308,309.5994745,191.1867813,131.2767459,660.0774701,193.9871856,206.5648302,130.6310779,438.1597953,178.5420619,179.1928327,127.0770535,509.6837398,7.290257031,180.0517728,188.5451398,124.0733394,516.9032222,176.5396921,180.3589221,123.3211605,503.1101978,165.1922187,153.9076063,126.1209555,466.1543314,142.6669444,147.4129548,128.737192,438.1597953,127.891009,137.1847198,130.3593534,414.2557604,5.946397192,30.87247571,33.11594743,31.46832606,18.82067814,4.543250799,-18.72297896,-28.36925503,-23.44296491,2.582920996,335,No,Yes,71446,69979,204736,3162149,131760,143876,104397,47320,3794239,3.8,53.10666301,54.21968228,5.395978733,83.34079977,3.472643644,3.791946889,2.751470538,1.247160427,1010,58172,-15639,606965,650508,0.650508,9.295760157,9.104890407,0.155263271,8.942549515,-2.404121087,93.3063083
Gwynedd,W06000002,Wales,370.009077,361.1094588,298.9686407,877.6232111,7.370649291,357.4595667,351.936924,297.20054,845.8341663,338.6832995,353.903307,285.9486542,838.9444248,306.4882498,324.9818675,273.6456232,731.0447116,319.1621627,349.5431501,273.0819963,639.4686465,293.5295634,302.9220428,264.3840217,703.400464,5.78820852,300.2241274,318.2974984,266.8077978,766.1150893,285.375635,302.9094866,266.981096,740.7178401,279.2023146,257.1451538,264.7939911,668.5290131,254.2438087,246.5540442,273.5392335,639.4686465,229.3891123,229.971988,279.5298987,631.7174391,5.122462469,31.04505436,31.12393957,37.83100607,-107.1735598,-14.50465089,-10.19092658,-21.85144501,-24.08212164,5.728741423,246,Transport,Yes,254809,122864,572823,11806349,352565,363482,540105,269449,13904773,13.9,54.5693421,113.1720707,4.11961689,84.9086048,2.535565976,2.614080578,3.884313387,1.937818368,1796,114092,-43943,1346089,1418034,1.418034,11.54149303,5.565086006,0.126654227,8.045787337,-3.098867869,94.92642631
Conwy,W06000003,Wales,235.7766427,304.3011286,278.3435629,787.1417575,6.965609691,227.064823,292.8321587,280.3651954,766.6891795,201.6180604,292.3703449,271.7464183,738.1583503,185.567114,268.8940962,265.4779431,683.0339083,195.5272459,286.8605651,264.2304496,583.8635675,179.5823133,248.0145184,251.2507728,646.3452018,5.604505505,185.4055902,266.7544865,249.3769382,677.9775245,174.5352411,255.905573,248.6717179,657.978263,174.4775104,213.9774904,251.0887244,613.5945747,147.2803265,207.877136,255.5128504,583.8635675,132.5245495,195.6599235,265.816449,574.5332429,4.918106856,22.31049559,32.93932993,44.75017448,-19.46767916,-3.277381977,-11.11046523,-26.20400801,-21.10948796,5.797266242,274,Transport,Yes,196874,210909,458247,9275278,358802,364787,368618,198314,11024046,11,55.9955625,52.26920701,4.156795141,84.13678279,3.254720093,3.309015861,3.343762638,1.798923473,2466,173012,-59072,2356867,2473273,2.473273,11.72673049,12.56272032,0.099705936,6.995264979,-2.388414057,95.29344314
Denbighshire,W06000004,Wales,270.2032128,259.3299372,206.9799073,688.5851235,7.326698696,245.9254682,248.9317069,209.4263843,653.8858961,233.0099993,249.0532104,204.9292474,643.1122148,207.2409587,229.654546,199.5821276,582.1606695,214.0783106,247.611008,197.3158794,495.178226,202.9196204,211.4672898,190.4338759,555.7043645,5.916847118,202.9572159,225.7764537,185.8679152,575.7599736,201.3535903,216.8215358,187.2492005,569.5888846,203.6161788,182.5106937,189.8338599,534.5807549,169.4452273,175.8050121,192.0330899,495.178226,160.3527088,166.0794808,196.9725245,489.745434,5.156083488,30.63646629,31.7306047,37.63292901,-33.65928006,-6.430832423,-11.86942819,-20.97722808,-21.46327646,3.433553273,305,Transport,Yes,196874,210909,458247,9275278,358802,364787,368618,198314,11024046,11,55.9955625,52.26920701,4.156795141,84.13678279,3.254720093,3.309015861,3.343762638,1.798923473,2466,173012,-59072,2356867,2473273,2.473273,11.72673049,12.56272032,0.099705936,6.995264979,-2.388414057,95.29344314
Flintshire,W06000005,Wales,1573.709342,401.1291888,411.821675,2397.013239,15.96678261,1517.359314,384.5551328,414.3512383,2325.382437,1394.131518,386.5263706,397.4009688,2186.94538,1042.954451,355.0601256,383.6350921,1789.074076,957.7229603,380.4313061,374.5736083,1811.431277,903.9519682,328.5328576,362.9871017,1601.171841,10.48807096,1183.1194,349.0538087,357.53867,1895.096139,1178.897484,342.9151648,355.7382308,1882.180509,1202.407906,289.6634751,361.1915354,1856.881462,1154.712562,282.0639022,372.029491,1811.431277,1186.407858,267.4946521,382.1202109,1838.304062,11.88871252,64.53817312,14.55116472,20.78656185,2.281340886,0.124100302,14.80991697,31.24678074,-18.57902616,5.271016266,28,No,Yes,94126,290721,265239,4234773,318953,268573,108275,68725,5264538,5.3,55.93053916,18.10855598,5.038225312,80.43959522,6.05852312,5.101548297,2.056677221,1.305430833,4856,285589,39542,4495854,4825841,4.825841,16.59956109,51.27001041,0.100624948,5.91791151,0.819380498,93.16208304
Wrexham,W06000006,Wales,872.4792363,331.9488713,237.0270279,1447.437592,11.10756262,800.8072338,320.7524436,236.5009111,1362.821316,785.9528636,319.582745,228.701175,1339.857126,721.9037653,293.8773566,221.1769489,1240.117185,780.685014,314.4858315,220.5869501,1008.380948,682.8591691,272.066833,215.8229682,1173.310756,8.68668658,730.2457249,288.979902,213.8317248,1236.764011,673.3095027,283.9812766,214.7364651,1175.612333,634.4481866,237.7502519,220.4834393,1094.806502,551.2613077,229.515562,226.2811337,1008.380948,447.4976429,217.079402,233.2019865,900.0420373,6.646889677,49.71963801,24.11880701,25.91012162,2.263005987,0.251433366,-23.29039579,-34.46706683,-20.21100125,8.052441505,137,No,Yes,94126,290721,265239,4234773,318953,268573,108275,68725,5264538,5.3,55.93053916,18.10855598,5.038225312,80.43959522,6.05852312,5.101548297,2.056677221,1.305430833,4856,285589,39542,4495854,4825841,4.825841,16.59956109,51.27001041,0.100624948,5.91791151,0.819380498,93.16208304
Swansea,W06000011,Wales,675.9782731,599.7195454,416.9842068,1692.399758,7.33297699,585.4363389,562.299581,425.8063618,1571.298929,609.8054334,581.0550973,404.3909596,1592.828521,507.4829637,532.4611765,388.1151488,1422.848062,554.4440406,560.7372649,381.6989555,1151.537166,463.3574805,490.0938715,376.1066879,1322.250559,5.539591183,504.0500149,517.7043312,368.1605001,1387.89544,459.3575894,517.2158999,364.8546403,1333.409148,403.5337417,433.9138569,368.6724178,1196.33412,367.1936608,422.1368873,373.3775351,1151.537166,324.6808894,398.5219968,379.7214996,1091.812188,4.466183654,29.43818213,36.13321112,34.42860676,-11.11219723,-1.00752122,-17.42773856,-29.92863975,-18.68455822,0.961113362,94,No,Yes,37971,242382,115046,1518118,110667,69343,54207,28154,1895536,1.9,49.92059779,7.820447842,6.069319591,80.08914602,5.838299126,3.658243179,2.859735053,1.485257033,3501,159417,17189,2868900,3049007,3.049007,12.57934583,80.2983066,0.114824269,5.228489144,0.563757315,94.09292927
Neath Port Talbot,W06000012,Wales,7536.384251,365.2384802,299.9907402,8169.761809,59.06293103,8074.23345,344.1788012,317.7339457,8702.02718,7622.26417,361.4329214,298.1451472,8251.582368,5704.380991,325.6216193,286.7062434,6279.164741,8027.749743,349.0631669,281.0419185,8163.599507,7100.507644,302.2899974,280.2333245,7647.569327,54.67235721,5449.861649,317.0455778,278.0531021,6015.457856,8277.445191,315.2324943,279.6172821,8844.152366,8548.943393,266.9539724,269.1262638,9052.999901,7647.179965,258.4807498,290.909967,8163.599507,6744.599221,244.9144927,292.1047703,7253.655316,51.19817696,92.62500138,3.363462302,4.011536322,-27.96316885,-0.384024086,-5.150839368,-5.012436298,-18.98028555,4.236271984,2,No,Yes,69307,283084,336333,3306146,276219,150046,293088,147932,4509764,4.5,65.06978613,15.93083369,7.457883816,73.31084669,6.124906571,3.32713319,6.49896542,3.280264314,5960,227132,30723,4093436,4357251,4.357251,15.39207797,62.86884442,0.13678349,5.212736195,0.705100532,93.94537978
Bridgend,W06000013,Wales,498.3790672,334.9853512,313.6809273,1133.174163,8.446186481,477.4975893,314.7189093,322.9926158,1100.134667,476.5493782,321.5453051,302.5734755,1087.87649,432.8969289,288.3405531,294.9405785,999.4010951,430.4190854,305.1817874,291.9320666,863.9015859,416.0504655,267.845382,285.7819426,954.0929761,6.843791522,410.1665697,286.4452714,285.9682821,970.2894515,414.5164297,280.7717675,284.9255156,968.7257626,406.6854794,233.9284542,293.0787533,920.1354116,350.5361512,227.9218141,299.4529629,863.9015859,312.3109192,216.4632456,304.9335672,822.548223,5.735720622,37.46048012,25.96392444,36.57559544,-11.15950892,-1.338539693,-13.78741447,-24.93436613,-19.18350655,6.701481684,165,No,Yes,69307,283084,336333,3306146,276219,150046,293088,147932,4509764,4.5,65.06978613,15.93083369,7.457883816,73.31084669,6.124906571,3.32713319,6.49896542,3.280264314,5960,227132,30723,4093436,4357251,4.357251,15.39207797,62.86884442,0.13678349,5.212736195,0.705100532,93.94537978
the Vale of Glamorgan,W06000014,Wales,922.6256537,308.1213797,246.7490258,1492.614738,12.07206886,954.1041777,287.7431439,252.0812357,1507.266662,853.081134,295.6017896,246.6134161,1408.076677,738.137836,266.1963879,235.087896,1249.882725,767.2542585,284.6310571,230.0171768,1207.366534,777.7258201,247.1412641,221.5345475,1254.780079,9.905194066,752.4090047,266.8387676,220.1999401,1247.834736,793.8007485,260.6731389,220.8722637,1283.014315,780.5259727,216.9583832,221.4820791,1224.977093,766.4157208,208.7114749,227.3599957,1207.366534,696.3407488,200.6759791,231.9594666,1133.797483,8.796560526,61.41667797,17.69945534,20.45863306,4.821288214,0.425233632,-9.641737094,-10.46449394,-18.80110356,4.705775798,83,No,Yes,47348,484752,298940,1884376,258472,100191,68779,41973,2652731,2.7,56.02625394,5.472346478,11.26914579,71.035319,9.743634677,3.776883688,2.592754886,1.582261963,9920,325604,333032,7185823,7854379,7.854379,16.20288106,165.8861832,0.126298973,4.145509148,4.240080597,91.48811128
Cardiff,W06000015,Wales,1003.975783,739.400659,716.9296341,2463.69496,7.609492535,996.5450679,696.7081937,725.5350634,2421.439699,1014.223707,716.1284821,698.3922933,2431.348402,942.2267746,644.7688011,670.444845,2258.968655,958.7420332,684.0732648,652.6981272,1866.422179,775.8219599,596.2815321,646.7159542,2019.569272,5.84633389,940.8732835,646.1082768,648.6596075,2236.439574,865.8439821,628.8356488,640.1257529,2135.243342,778.004197,514.8214387,654.5454132,1947.157388,706.6461814,498.5548786,661.9664728,1866.422179,648.9178933,471.3507312,673.5194725,1793.059617,4.964613745,36.17583896,26.27683459,37.54732644,-0.728479792,-0.040611251,-11.21574079,-16.35736976,-20.95164686,4.144558065,30,Transport,Yes,47348,484752,298940,1884376,258472,100191,68779,41973,2652731,2.7,56.02625394,5.472346478,11.26914579,71.035319,9.743634677,3.776883688,2.592754886,1.582261963,9920,325604,333032,7185823,7854379,7.854379,16.20288106,165.8861832,0.126298973,4.145509148,4.240080597,91.48811128
Monmouthshire,W06000021,Wales,278.7063658,245.4568443,355.0579304,857.4541861,9.624583972,261.4525563,231.776056,366.1928357,832.9497798,258.067746,237.2230841,353.0888695,823.3370582,237.6965073,216.9047858,341.6850055,763.1011576,251.639263,234.2491912,338.1028578,656.2709719,236.1441473,200.9797424,335.380351,735.776505,8.040570278,221.4241533,215.9120778,332.219451,735.1002886,229.4451995,210.9208896,329.967914,734.2197634,206.3023544,177.7257378,329.7148788,672.9097365,185.0311164,172.7774819,342.7505309,656.2709719,174.3911964,164.2207471,351.8159539,647.7491283,6.9444351,25.25842265,23.785358,50.95621936,-42.67876911,-6.181495456,-11.96387437,-26.15053203,-18.28990068,4.90058612,237,Transport,Yes,104080,240245,455353,5251060,472813,299873,237795,145527,6862422,6.9,65.93433084,28.56426629,6.635459571,76.51905199,6.889890213,4.3697801,3.465182084,2.120636044,4606,210247,107755,4164517,4487125,4.487125,18.67728777,43.11226941,0.102649246,4.685561468,2.401426303,92.81036298
Newport,W06000022,Wales,1228.43097,343.623162,481.0758702,2049.035871,14.57797101,1079.766872,320.6065623,475.7441025,1870.989537,962.5014402,327.7944143,459.3618011,1744.94125,676.779912,296.4475311,438.5005536,1405.038187,804.235637,315.0816438,435.7189716,1258.058428,716.4581226,271.4185567,436.2600575,1416.887134,9.719018648,635.6116679,291.1768798,432.3493836,1352.691075,705.8938766,290.3136069,430.992534,1420.590075,584.9453853,239.0884481,438.4315783,1254.682875,578.8008945,234.1137612,453.5698187,1258.058428,589.3513892,225.3501556,463.6182541,1270.5401,8.499846799,46.10359549,17.62862124,36.26778327,-7.779698973,-0.608587849,-10.32877145,-17.74098575,-16.97319507,6.271075267,58,No,Yes,104080,240245,455353,5251060,472813,299873,237795,145527,6862422,6.9,65.93433084,28.56426629,6.635459571,76.51905199,6.889890213,4.3697801,3.465182084,2.120636044,4606,210247,107755,4164517,4487125,4.487125,18.67728777,43.11226941,0.102649246,4.685561468,2.401426303,92.81036298
