Year,Category,Wales,Powys,Gwynedd,Conwy,Denbigshire,Monmouthshire,Newport,Flintshire,Wrexham,Anglesey,Neath,Bridgend,Glamorgan,Cardiff,Swansea
2006,total,33247,935,878,787,689,857,2049,2397,1447,810,8170,1133,1493,2464,1692
2007,total,32822,890,846,767,654,833,1871,2325,1363,793,8702,1100,1507,2421,1571
2008,total,31893,912,839,738,643,823,1745,2187,1340,746,8252,1088,1408,2431,1593
2009,total,27385,780,731,683,582,763,1405,1789,1240,660,6279,999,1250,2259,1423
2010,total,30486,705,639,584,495,656,1258,1811,1008,438,8164,864,1207,1866,1152
2011,total,27511,781,703,646,556,736,1417,1601,1173,510,7648,954,1255,2020,1322
2012,total,26882,862,766,678,576,735,1353,1895,1237,517,6015,970,1248,2236,1388
2013,total,29370,828,741,658,570,734,1421,1882,1176,503,8844,969,1283,2135,1333
2014,total,28065,766,669,614,535,673,1255,1857,1095,466,9053,920,1225,1947,1196
2015,total,26302,705,639,584,495,656,1258,1811,1008,438,8164,864,1207,1866,1152
2016,total,24866,741,632,575,490,648,1271,1838,900,414,7254,823,1134,1793,1092